[3] 3:53:10 PM: Log started for 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[3] 3:53:10 PM: Log level: 4
[3] 3:53:10 PM: Release: 12.0.0.19268
[4] 3:57:38 PM:  ShowStatusInfo: 'Create Folder'
[4] 3:57:38 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:38 PM:  ShowStatusInfo: 'Folder finalizing ... '
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:38 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:38 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:57:38 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:57:38 PM:  ShowStatusInfo: 'Folder finished'
[3] 3:57:38 PM: Task 'Create Folder' finished
[4] 3:57:38 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:42 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:43 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:43 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:45 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:45 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:46 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:47 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:47 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:49 PM:  ShowStatusInfo: 'Move'
[4] 3:57:49 PM:  ShowStatusInfo: 'Create TestCase from TestCaseItem'
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:50 PM:  ShowStatusInfo: 'Create TestCase from TestCaseItem finalizing ... '
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
